date,name,rollno,total_recognized,status
2024-09-19,jhon,E21CS103,119.486315,Present
2024-09-19,zara,E21CS105,119.484316,Present
2024-09-19,sara,E21CS102,118.849543,Present
2024-09-19,rex,E21CS107,68.199742,Present
