date,name,rollno,total_recognized,status
2024-09-18,jhon,E21CS103,119.731136,Present
2024-09-18,zara,E21CS105,119.250846,Present
2024-09-18,sara,E21CS102,98.002531,Present
2024-09-18,rex,E21CS107,17.095805,Absent
